x,y,gid,Name,description
"-46,747235","-23,6474247",167,PEV - Posto de Serviços Maracanã LTDA,"Materiais recicláveis: metal, papel, plástico e vidro. Estrada de Itapecerica, 1397 - Vila das Belezas."
"-46,7713892","-23,6601481",168,PEV - Posto de Serviços Portal de Itapecerica LTDA,"Materiais recicláveis: metal, papel, plástico e vidro. Estrada de Itapecerica, 4505 - Capão Redondo."
"-46,6375652","-23,6400851",169,PEV - Clube Escola da Sub. Jabaquara,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Lussanvira, 178 - Jabaquara."
"-46,6410339","-23,6554775",170,PEV - EMEI Casemiro de Abreu ,"Materiais recicláveis: metal, papel, plástico e vidro. Rua das Rolinhas, 207 - Vila do Encontro."
"-46,60287","-23,706847",171,PEV - Parque Estadual das Fontes Do Ipiranga,"Materiais recicláveis: metal, papel, plástico e vidro. Rodovia dos Imigrantes, 11500 - Casa Grande, Diadema."
"-46,6424195","-23,6359057",172,PEV - Parque Lina e Paulo Raia,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Volkswagen - Jabaquara."
"-46,6602042","-23,6627148",173,PEV - Parque Nabuco,"Materiais recicláveis: metal, papel, plástico e vidro. R. Frederico Albuquerque, 120 - Jardim Itacolomi."
"-46,7182252","-23,6661967",174,PEV - Auto Posto do Jaguar LTDA,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Guarapiranga, 540 - Vila Socorro."
"-46,7293758","-23,6676505",175,PEV - Auto Posto Silquekron,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Guarapiranga, 1791 - Praia da Lagoa."
"-46,7653867","-23,6971051",176,PEV - CEU EMEI Guarapiranga,"Materiais recicláveis: metal, papel, plástico e vidro. Estr. da Baronesa, 2031 - Baronesa."
"-46,7342744","-23,67335",177,PEV - Parque Guarapiranga - Portão 1,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Guarapiranga, 575 - Jardim das Flores."
"-46,734398","-23,6788692",178,PEV - Parque Guarapiranga - Portão 2,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Guarapiranga, 1091 - Praia da Lagoa."
"-46,754217","-23,6931698",179,PEV - Parque Municipal Jardim Herculano,"Materiais recicláveis: metal, papel, plástico e vidro. Estrada da Riviera, 2282 - Riviera Paulista."
"-46,7269533","-23,6496282",180,PEV - Projeto Pomar,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Guido Caloi, 551, São Paulo."
"-46,7343172","-23,8249273",181,PEV - 25 Distrito Policial Parelheiros,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Humberto Ravelo, 9 - Jardim do Centro."
